Sony PlayStation 2 || Red Faction II (USA) || Sony/Sony PlayStation 2/Red Faction II (USA)/Red Faction II (USA).json
Sony PlayStation 2 || Red Ninja - End of Honor (USA) || Sony/Sony PlayStation 2/Red Ninja - End of Honor (USA)/Red Ninja - End of Honor (USA).json
Sony PlayStation 2 || Resident Evil - Code - Veronica X (USA) || Sony/Sony PlayStation 2/Resident Evil - Code - Veronica X (USA)/Resident Evil - Code - Veronica X (USA).json
Sony PlayStation 2 || Resident Evil - Dead Aim (USA) || Sony/Sony PlayStation 2/Resident Evil - Dead Aim (USA)/Resident Evil - Dead Aim (USA).json
Sony PlayStation 2 || Resident Evil - Outbreak (USA) (v2.00) || Sony/Sony PlayStation 2/Resident Evil - Outbreak (USA) (v2.00)/Resident Evil - Outbreak (USA) (v2.00).json
Sony PlayStation 2 || Resident Evil - Outbreak - File 2 (USA) || Sony/Sony PlayStation 2/Resident Evil - Outbreak - File 2 (USA)/Resident Evil - Outbreak - File 2 (USA).json
Sony PlayStation 2 || Resident Evil 4 (USA) || Sony/Sony PlayStation 2/Resident Evil 4 (USA)/Resident Evil 4 (USA).json
Sony PlayStation 2 || Rockman - Power Battle Fighters (Japan) || Sony/Sony PlayStation 2/Rockman - Power Battle Fighters (Japan)/Rockman - Power Battle Fighters (Japan).json
Sony PlayStation 2 || Rule of Rose (USA) || Sony/Sony PlayStation 2/Rule of Rose (USA)/Rule of Rose (USA).json
Sony PlayStation 2 || Rygar - The Legendary Adventure (USA) || Sony/Sony PlayStation 2/Rygar - The Legendary Adventure (USA)/Rygar - The Legendary Adventure (USA).json
Sony PlayStation 2 || SOCOM - U.S. Navy SEALs (USA) (v3.00) || Sony/Sony PlayStation 2/SOCOM - U.S. Navy SEALs (USA) (v3.00)/SOCOM - U.S. Navy SEALs (USA) (v3.00).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan)/Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan)/Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan)/Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan).json
