Computer - Disc || Punch Club (USA) || Computer/Disc/P/Punch Club (USA)/Punch Club (USA).json
Computer - Disc || Quake III - Arena (USA) || Computer/Disc/Q/Quake III - Arena (USA)/Quake III - Arena (USA).json
Computer - Disc || Quest For Infamy (USA) || Computer/Disc/Q/Quest For Infamy (USA)/Quest For Infamy (USA).json
Computer - Disc || Real Crimes 2-Pack (Jack the Ripper, The Unicorn Killer) (USA) || Computer/Disc/R/Real Crimes 2-Pack (Jack the Ripper, The Unicorn Killer) (USA)/Real Crimes 2-Pack (Jack the Ripper, The Unicorn Killer) (USA).json
Computer - Disc || Resident Evil (USA) || Computer/Disc/R/Resident Evil (USA)/Resident Evil (USA).json
Computer - Disc || Resident Evil 2 (USA) || Computer/Disc/R/Resident Evil 2 (USA)/Resident Evil 2 (USA).json
Computer - Disc || Resident Evil 3 - Nemesis (USA) || Computer/Disc/R/Resident Evil 3 - Nemesis (USA)/Resident Evil 3 - Nemesis (USA).json
Computer - Disc || Resident Evil 4 (USA) || Computer/Disc/R/Resident Evil 4 (USA)/Resident Evil 4 (USA).json
Computer - Disc || Rise of Nations - Rise of Legends (USA) || Computer/Disc/R/Rise of Nations - Rise of Legends (USA)/Rise of Nations - Rise of Legends (USA).json
Computer - Disc || Rise of the Triad - The Hunt Begins (USA) || Computer/Disc/R/Rise of the Triad - The Hunt Begins (USA)/Rise of the Triad - The Hunt Begins (USA).json
Computer - Disc || Risk of Rain (USA) || Computer/Disc/R/Risk of Rain (USA)/Risk of Rain (USA).json
Computer - Disc || Rive (USA) || Computer/Disc/R/Rive (USA)/Rive (USA).json
Computer - Disc || Riven - The Sequel to Myst (USA) || Computer/Disc/R/Riven - The Sequel to Myst (USA)/Riven - The Sequel to Myst (USA).json
Computer - Disc || Rogue Legacy (USA) || Computer/Disc/R/Rogue Legacy (USA)/Rogue Legacy (USA).json
Computer - Disc || SCP-087 (USA) || Computer/Disc/S/SCP-087 (USA)/SCP-087 (USA).json
Computer - Disc || SCP-087-B (USA) || Computer/Disc/S/SCP-087-B (USA)/SCP-087-B (USA).json
Computer - Disc || Sam & Max Hit the Road (USA) || Computer/Disc/S/Sam & Max Hit the Road (USA)/Sam & Max Hit the Road (USA).json
Computer - Disc || Schizm (USA) || Computer/Disc/S/Schizm (USA)/Schizm (USA).json
